name,parent,type,size
bazaar.cpython-39.pyc,__pycache__,file,3191
git.cpython-39.pyc,__pycache__,file,12315
mercurial.cpython-39.pyc,__pycache__,file,4820
subversion.cpython-39.pyc,__pycache__,file,8353
versioncontrol.cpython-39.pyc,__pycache__,file,20853
__init__.cpython-39.pyc,__pycache__,file,481
build_env.cpython-39.pyc,__pycache__,file,9435
cache.cpython-39.pyc,__pycache__,file,8276
configuration.cpython-39.pyc,__pycache__,file,11092
exceptions.cpython-39.pyc,__pycache__,file,16338
main.cpython-39.pyc,__pycache__,file,584
pyproject.cpython-39.pyc,__pycache__,file,3658
self_outdated_check.cpython-39.pyc,__pycache__,file,4471
wheel_builder.cpython-39.pyc,__pycache__,file,9085
__init__.cpython-39.pyc,__pycache__,file,719
distro.py,_vendor,file,48414
pyparsing.py,_vendor,file,273394
six.py,_vendor,file,34549
vendor.txt,_vendor,file,432
__init__.py,_vendor,file,4708
cachecontrol,_vendor,directory,73639
certifi,_vendor,directory,264793
chardet,_vendor,directory,1422186
colorama,_vendor,directory,48518
distlib,_vendor,directory,1672800
html5lib,_vendor,directory,842714
idna,_vendor,directory,447318
msgpack,_vendor,directory,82658
packaging,_vendor,directory,177706
pep517,_vendor,directory,95444
pkg_resources,_vendor,directory,209769
platformdirs,_vendor,directory,77544
progress,_vendor,directory,26785
requests,_vendor,directory,322595
resolvelib,_vendor,directory,62759
tenacity,_vendor,directory,95304
tomli,_vendor,directory,44389
urllib3,_vendor,directory,679379
webencodings,_vendor,directory,54773
__pycache__,_vendor,directory,309081
adapter.py,cachecontrol,file,4882
cache.py,cachecontrol,file,805
compat.py,cachecontrol,file,695
controller.py,cachecontrol,file,14149
filewrapper.py,cachecontrol,file,2533
heuristics.py,cachecontrol,file,4070
serialize.py,cachecontrol,file,7091
wrapper.py,cachecontrol,file,690
_cmd.py,cachecontrol,file,1295
__init__.py,cachecontrol,file,302
caches,cachecontrol,directory,10163
__pycache__,cachecontrol,directory,26964
file_cache.py,caches,file,4153
redis_cache.py,caches,file,856
__init__.py,caches,file,86
__pycache__,caches,directory,5068
file_cache.cpython-39.pyc,__pycache__,file,3276
redis_cache.cpython-39.pyc,__pycache__,file,1532
__init__.cpython-39.pyc,__pycache__,file,260
adapter.cpython-39.pyc,__pycache__,file,3042
cache.cpython-39.pyc,__pycache__,file,1789
compat.cpython-39.pyc,__pycache__,file,713
controller.cpython-39.pyc,__pycache__,file,7730
filewrapper.cpython-39.pyc,__pycache__,file,2138
heuristics.cpython-39.pyc,__pycache__,file,4670
serialize.cpython-39.pyc,__pycache__,file,4189
wrapper.cpython-39.pyc,__pycache__,file,640
_cmd.cpython-39.pyc,__pycache__,file,1537
__init__.cpython-39.pyc,__pycache__,file,516
cacert.pem,certifi,file,259465
core.py,certifi,file,2840
